Analizing File:  DynaLoader.c
        1.96 real         0.29 user         0.01 sys
        1.94 real         0.29 user         0.01 sys
        1.91 real         0.29 user         0.01 sys
        1.90 real         0.28 user         0.01 sys
Analizing File:  perl.c
        3.25 real         0.43 user         0.01 sys
        3.18 real         0.44 user         0.01 sys
        3.17 real         0.43 user         0.01 sys
        3.19 real         0.44 user         0.01 sys
        3.19 real         0.43 user         0.01 sys
        3.25 real         0.43 user         0.01 sys
        3.14 real         0.42 user         0.01 sys
        3.15 real         0.45 user         0.01 sys
        3.13 real         0.44 user         0.01 sys
        3.14 real         0.43 user         0.01 sys
Analizing File:  perlapi.c
        1.06 real         0.02 user         0.00 sys
        1.02 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.02 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.04 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
Analizing File:  perlio.c
        2.43 real         0.45 user         0.01 sys
        2.48 real         0.46 user         0.01 sys
        2.45 real         0.45 user         0.01 sys
        2.39 real         0.46 user         0.01 sys
        2.50 real         0.47 user         0.01 sys
        2.86 real         0.53 user         0.02 sys
        3.27 real         0.64 user         0.03 sys
        2.55 real         0.47 user         0.01 sys
        2.50 real         0.47 user         0.01 sys
        2.54 real         0.48 user         0.01 sys
Analizing File:  perlmain.c
        1.17 real         0.04 user         0.00 sys
        1.12 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.10 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.12 real         0.04 user         0.01 sys
        1.14 real         0.04 user         0.01 sys
Analizing File:  perly.c
        2.27 real         0.23 user         0.01 sys
        2.20 real         0.23 user         0.01 sys
        2.20 real         0.23 user         0.01 sys
        2.20 real         0.23 user         0.01 sys
        2.22 real         0.24 user         0.01 sys
        2.21 real         0.23 user         0.01 sys
        2.21 real         0.23 user         0.01 sys
        2.24 real         0.25 user         0.01 sys
        2.57 real         0.26 user         0.01 sys
        2.24 real         0.24 user         0.01 sys
Analizing File:  pp.c
        2.71 real         0.02 user         0.00 sys
        2.62 real         0.02 user         0.00 sys
        2.67 real         0.02 user         0.03 sys
        2.63 real         0.02 user         0.00 sys
        2.62 real         0.03 user         0.00 sys
        2.66 real         0.02 user         0.00 sys
        2.60 real         0.02 user         0.00 sys
        2.61 real         0.02 user         0.00 sys
        2.60 real         0.03 user         0.00 sys
        2.59 real         0.02 user         0.00 sys
Analizing File:  pp_ctl.c
        4.56 real         1.11 user         0.02 sys
        4.48 real         1.11 user         0.02 sys
        4.50 real         1.11 user         0.02 sys
        4.50 real         1.10 user         0.02 sys
        4.49 real         1.11 user         0.02 sys
        4.54 real         1.11 user         0.02 sys
        4.57 real         1.12 user         0.02 sys
        4.46 real         1.10 user         0.02 sys
        4.66 real         1.11 user         0.02 sys
        4.48 real         1.10 user         0.02 sys
Analizing File:  pp_hot.c
        3.44 real         0.72 user         0.02 sys
        3.32 real         0.72 user         0.02 sys
        3.36 real         0.75 user         0.02 sys
        3.35 real         0.72 user         0.01 sys
        3.38 real         0.75 user         0.02 sys
        3.30 real         0.71 user         0.01 sys
        3.32 real         0.71 user         0.01 sys
        3.36 real         0.72 user         0.02 sys
        3.31 real         0.72 user         0.01 sys
        3.55 real         0.72 user         0.02 sys
Analizing File:  pp_sort.c
        1.29 real         0.02 user         0.00 sys
        1.33 real         0.02 user         0.00 sys
        1.30 real         0.02 user         0.00 sys
        1.26 real         0.02 user         0.00 sys
        1.32 real         0.02 user         0.00 sys
        1.30 real         0.02 user         0.00 sys
        1.31 real         0.02 user         0.00 sys
        1.27 real         0.02 user         0.00 sys
        1.25 real         0.02 user         0.00 sys
        1.33 real         0.03 user         0.00 sys
Analizing File:  pp_sys.c
        3.46 real         0.72 user         0.02 sys
        3.62 real         0.77 user         0.02 sys
        3.25 real         0.69 user         0.01 sys
        3.29 real         0.71 user         0.02 sys
        3.25 real         0.68 user         0.01 sys
        3.27 real         0.70 user         0.01 sys
        3.74 real         0.74 user         0.04 sys
        3.32 real         0.75 user         0.02 sys
        3.23 real         0.69 user         0.01 sys
        3.28 real         0.69 user         0.01 sys
Analizing File:  reentr.c
        1.10 real         0.03 user         0.00 sys
        1.07 real         0.03 user         0.00 sys
        1.13 real         0.03 user         0.01 sys
        1.07 real         0.03 user         0.00 sys
        1.10 real         0.03 user         0.00 sys
        1.06 real         0.03 user         0.00 sys
        1.06 real         0.03 user         0.00 sys
        1.06 real         0.03 user         0.00 sys
        1.08 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
Analizing File:  run.c
        1.13 real         0.04 user         0.01 sys
        1.07 real         0.03 user         0.01 sys
