Analizing File:  DynaLoader.c
        1.88 real         0.36 user         0.01 sys
        1.91 real         0.35 user         0.01 sys
        1.87 real         0.35 user         0.01 sys
        2.25 real         0.43 user         0.01 sys
        2.17 real         0.42 user         0.02 sys
        1.84 real         0.34 user         0.01 sys
Analizing File:  locale.c
        1.07 real         0.03 user         0.00 sys
        1.09 real         0.03 user         0.00 sys
        1.08 real         0.03 user         0.00 sys
        1.07 real         0.04 user         0.00 sys
        1.13 real         0.04 user         0.00 sys
        1.09 real         0.03 user         0.00 sys
        1.49 real         0.04 user         0.01 sys
        1.66 real         0.03 user         0.00 sys
        1.20 real         0.04 user         0.01 sys
        1.36 real         0.04 user         0.00 sys
Analizing File:  mathoms.c
        1.85 real         0.21 user         0.01 sys
        1.86 real         0.20 user         0.01 sys
        1.84 real         0.21 user         0.01 sys
        1.86 real         0.21 user         0.01 sys
        1.84 real         0.21 user         0.01 sys
        1.84 real         0.21 user         0.01 sys
        1.84 real         0.21 user         0.01 sys
        1.91 real         0.22 user         0.01 sys
        1.86 real         0.21 user         0.01 sys
        1.88 real         0.21 user         0.01 sys
Analizing File:  mg.c
        2.56 real         0.51 user         0.01 sys
        2.56 real         0.51 user         0.01 sys
        2.58 real         0.51 user         0.01 sys
        2.62 real         0.52 user         0.01 sys
        2.56 real         0.51 user         0.01 sys
        2.56 real         0.51 user         0.01 sys
        2.55 real         0.51 user         0.01 sys
        2.56 real         0.51 user         0.01 sys
        2.57 real         0.51 user         0.01 sys
        2.57 real         0.51 user         0.01 sys
Analizing File:  mro_core.c
        2.13 real         0.44 user         0.01 sys
        2.16 real         0.44 user         0.01 sys
        2.12 real         0.44 user         0.01 sys
        2.10 real         0.43 user         0.01 sys
        2.12 real         0.44 user         0.01 sys
        2.25 real         0.44 user         0.01 sys
        2.11 real         0.43 user         0.01 sys
        2.13 real         0.44 user         0.01 sys
        2.13 real         0.43 user         0.01 sys
        2.10 real         0.44 user         0.01 sys
Analizing File:  numeric.c
        1.55 real         0.21 user         0.01 sys
        1.54 real         0.21 user         0.01 sys
        1.54 real         0.21 user         0.01 sys
        1.53 real         0.21 user         0.01 sys
        1.54 real         0.21 user         0.01 sys
        1.54 real         0.21 user         0.01 sys
        1.54 real         0.21 user         0.01 sys
        1.53 real         0.21 user         0.01 sys
        1.54 real         0.22 user         0.01 sys
        1.53 real         0.21 user         0.01 sys
Analizing File:  op.c
        8.29 real         3.45 user         0.04 sys
        8.25 real         3.47 user         0.04 sys
        8.33 real         3.43 user         0.04 sys
        8.28 real         3.46 user         0.04 sys
        8.21 real         3.43 user         0.04 sys
        8.33 real         3.54 user         0.04 sys
        8.29 real         3.50 user         0.04 sys
        8.22 real         3.44 user         0.04 sys
        8.19 real         3.42 user         0.04 sys
        8.20 real         3.41 user         0.04 sys
Analizing File:  pad.c
        1.94 real         0.33 user         0.01 sys
        1.95 real         0.32 user         0.01 sys
        1.96 real         0.32 user         0.01 sys
        1.95 real         0.32 user         0.01 sys
        1.94 real         0.32 user         0.01 sys
        2.01 real         0.34 user         0.01 sys
