FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
SDL_blendline.c,SDL_BlendLine_RGB4-22,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB4-21,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB4-20,"set(['451', '504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-62,"set(['217', '504', '503', '143'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB4-29,"set(['504', '36', '110'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB4-28,"set(['504', '36', '110'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-72,"set(['217', '504', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-98,"set(['502', '504', '260', '340', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-99,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-94,"set(['502', '504', '340', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-95,"set(['340', '504', '502', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-96,"set(['502', '504', '260', '340', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-97,"set(['502', '504', '260', '340', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-90,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-30,"set(['504', '110'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-92,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-93,"set(['502', '504', '340', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-6,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-7,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-4,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-71,"set(['217', '504', '167', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB2-90,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB2-91,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB2-92,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB2-93,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB2-94,"set(['502', '504', '340', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB2-95,"set(['502', '504', '340', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB2-96,"set(['340', '504', '502', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB2-97,"set(['502', '504', '260', '340', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB2-98,"set(['502', '504', '260', '340', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB2-99,"set(['502', '504', '260', '340', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-3,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-30,"set(['504', '110'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-31,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-32,"set(['504', '110'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-33,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-34,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-35,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-36,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-37,"set(['504', '110'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-38,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-39,"set(['504', '110'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-80,"set(['504', '501', '502', '503', '387'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-1,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-41,"set(['504', '110', '78'])",set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-30,"set(['504', '36', '110'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-121,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-120,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-88,"set(['502', '504', '340', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-89,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-82,"set(['504', '501', '502', '503', '387'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-83,"set(['504', '501', '502', '503', '387'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-77,"set(['217', '504', '503', '185'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-81,"set(['217', '504', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-86,"set(['502', '504', '340', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-87,"set(['340', '504', '502', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-84,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-85,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB4-64,"set(['217', '504', '143', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-31,"set(['504', '110'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-76,"set(['217', '504', '503', '185'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB4-110,"set(['502', '504', '340', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB4-111,"set(['502', '504', '340', '503', '306'])",set([])
