Analizing File:  alias.c
        1.73 real         0.40 user         0.01 sys
        1.71 real         0.39 user         0.01 sys
        1.74 real         0.39 user         0.01 sys
        1.71 real         0.39 user         0.01 sys
        1.75 real         0.39 user         0.01 sys
        1.70 real         0.39 user         0.01 sys
        1.71 real         0.39 user         0.01 sys
        1.70 real         0.39 user         0.01 sys
        1.71 real         0.38 user         0.01 sys
Analizing File:  cpp_directives-only.c
        0.62 real         0.13 user         0.01 sys
        0.62 real         0.12 user         0.01 sys
        0.61 real         0.12 user         0.00 sys
        0.61 real         0.12 user         0.01 sys
        0.61 real         0.12 user         0.01 sys
        0.66 real         0.15 user         0.01 sys
        0.64 real         0.14 user         0.01 sys
        0.61 real         0.13 user         0.01 sys
        0.63 real         0.13 user         0.01 sys
        0.62 real         0.13 user         0.01 sys
Analizing File:  cpp_directives.c
        1.60 real         0.53 user         0.02 sys
        1.58 real         0.53 user         0.01 sys
        1.58 real         0.54 user         0.01 sys
        1.59 real         0.53 user         0.01 sys
        1.59 real         0.53 user         0.01 sys
        1.63 real         0.54 user         0.02 sys
        1.62 real         0.55 user         0.02 sys
        1.59 real         0.53 user         0.02 sys
        1.60 real         0.54 user         0.01 sys
        1.61 real         0.53 user         0.01 sys
Analizing File:  cpp_errors.c
        0.52 real         0.08 user         0.01 sys
        0.54 real         0.07 user         0.01 sys
        0.51 real         0.07 user         0.01 sys
        0.53 real         0.07 user         0.01 sys
        0.51 real         0.07 user         0.01 sys
        0.52 real         0.07 user         0.01 sys
        0.51 real         0.07 user         0.01 sys
        0.52 real         0.07 user         0.01 sys
        0.52 real         0.07 user         0.01 sys
        0.51 real         0.07 user         0.01 sys
Analizing File:  cpp_expr.c
        1.34 real         0.45 user         0.01 sys
        1.29 real         0.42 user         0.01 sys
        1.29 real         0.43 user         0.01 sys
        1.29 real         0.43 user         0.01 sys
        1.29 real         0.43 user         0.01 sys
        1.31 real         0.43 user         0.01 sys
        1.31 real         0.43 user         0.01 sys
        1.31 real         0.43 user         0.01 sys
        1.31 real         0.44 user         0.01 sys
        1.32 real         0.43 user         0.01 sys
Analizing File:  cpp_files.c
        1.26 real         0.38 user         0.01 sys
        1.26 real         0.38 user         0.01 sys
        1.25 real         0.38 user         0.01 sys
        1.26 real         0.38 user         0.01 sys
        1.25 real         0.38 user         0.01 sys
        1.27 real         0.38 user         0.01 sys
        1.27 real         0.39 user         0.01 sys
        1.25 real         0.38 user         0.01 sys
        1.25 real         0.38 user         0.01 sys
        1.31 real         0.42 user         0.01 sys
Analizing File:  cpp_identifiers.c
        0.61 real         0.09 user         0.01 sys
        0.55 real         0.08 user         0.01 sys
        0.56 real         0.08 user         0.01 sys
        0.56 real         0.09 user         0.01 sys
        0.56 real         0.08 user         0.01 sys
        0.60 real         0.09 user         0.01 sys
        0.55 real         0.08 user         0.01 sys
        0.56 real         0.09 user         0.01 sys
        0.55 real         0.08 user         0.01 sys
        0.55 real         0.08 user         0.01 sys
Analizing File:  cpp_init.c
        0.75 real         0.16 user         0.01 sys
        0.75 real         0.16 user         0.01 sys
        0.75 real         0.17 user         0.01 sys
        0.75 real         0.16 user         0.01 sys
        0.74 real         0.16 user         0.01 sys
        0.74 real         0.16 user         0.01 sys
        0.75 real         0.16 user         0.01 sys
        0.74 real         0.16 user         0.01 sys
        0.79 real         0.17 user         0.01 sys
        0.75 real         0.16 user         0.01 sys
Analizing File:  cpp_lex.c
        1.71 real         0.62 user         0.02 sys
        1.75 real         0.62 user         0.01 sys
        1.71 real         0.62 user         0.02 sys
        1.72 real         0.64 user         0.02 sys
        1.74 real         0.64 user         0.01 sys
        1.72 real         0.63 user         0.01 sys
        1.71 real         0.62 user         0.01 sys
        1.71 real         0.62 user         0.01 sys
        1.71 real         0.64 user         0.02 sys
        1.71 real         0.63 user         0.01 sys
